,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct
311,43200,17983.85,17996.85,17959.15,17959.9,220119,NIFTY,29.65,Red,Red,17951.25,17959.5,,17974.35,17951.25,0.192
312,44100,17959.5,17974.35,17951.25,17951.25,220119,NIFTY,31.59,Red,Red,17899.5,17951.8,Bearish Engulfing,17951.8,17890.8,0.21
313,45000,17951.8,17951.8,17890.8,17899.5,220119,NIFTY,25.26,Red,Red,17895.15,17900.05,,17913.65,17885.3,0.254
314,45900,17900.05,17913.65,17885.3,17895.15,220119,NIFTY,27.13,Red,Green,17926.9,17896.65,,17933.8,17891.0,0.467
315,46800,17896.65,17933.8,17891.0,17926.9,220119,NIFTY,44.11,Green,Red,17919.0,17926.8,,17937.1,17912.9,0.372
316,47700,17926.8,17937.1,17912.9,17919.0,220119,NIFTY,23.48,Red,Red,17909.1,17919.25,,17925.85,17886.95,0.271
317,48600,17919.25,17925.85,17886.95,17909.1,220119,NIFTY,23.52,Red,Red,17895.95,17908.9,,17912.6,17886.6,0.258
318,49500,17908.9,17912.6,17886.6,17895.95,220119,NIFTY,25.79,Red,Green,17927.2,17895.9,,17931.45,17894.0,0.28
319,50400,17895.9,17931.45,17894.0,17927.2,220119,NIFTY,30.14,Green,Red,17917.8,17926.75,,17932.15,17895.55,0.219
320,51300,17926.75,17932.15,17895.55,17917.8,220119,NIFTY,35.3,Red,Green,17953.75,17917.55,Bullish Engulfing,17960.95,17912.05,0.251
321,52200,17917.55,17960.95,17912.05,17953.75,220119,NIFTY,45.03,Green,Red,17934.55,17952.85,,17959.95,17920.95,0.213
322,53100,17952.85,17959.95,17920.95,17934.55,220119,NIFTY,41.88,Red,Green,17945.25,17932.55,Bullish Engulfing,17949.4,17932.55,0.365
323,54000,17932.55,17949.4,17932.55,17945.25,220119,NIFTY,43.63,Green,Red,17941.45,17945.25,,17949.4,17923.9,0.273
324,54900,17945.25,17949.4,17923.9,17941.45,220119,NIFTY,41.91,Red,Red,17875.7,17921.0,,17934.3,17859.75,0.218
325,33300,17921.0,17934.3,17859.75,17875.7,220120,NIFTY,36.13,Red,Green,17910.45,17874.75,,17923.25,17874.75,0.142
326,34200,17874.75,17923.25,17874.75,17910.45,220120,NIFTY,43.81,Green,Red,17866.45,17910.65,,17910.9,17853.65,0.502
327,35100,17910.65,17910.9,17853.65,17866.45,220120,NIFTY,44.87,Red,Red,17843.25,17867.0,,17884.5,17837.45,0.417
328,36000,17867.0,17884.5,17837.45,17843.25,220120,NIFTY,42.38,Red,Red,17842.8,17843.5,Bearish Engulfing,17859.3,17832.1,0.39
329,36900,17843.5,17859.3,17832.1,17842.8,220120,NIFTY,36.41,Red,Red,17824.9,17841.95,,17851.75,17822.0,0.412
330,37800,17841.95,17851.75,17822.0,17824.9,220120,NIFTY,35.27,Red,Green,17827.8,17824.6,,17840.3,17818.4,0.294
331,38700,17824.6,17840.3,17818.4,17827.8,220120,NIFTY,36.99,Green,Red,17809.35,17828.0,,17830.8,17799.9,0.209
332,39600,17828.0,17830.8,17799.9,17809.35,220120,NIFTY,36.37,Red,Red,17785.85,17809.8,,17817.75,17779.1,0.187
333,40500,17809.8,17817.75,17779.1,17785.85,220120,NIFTY,27.2,Red,Red,17775.95,17785.15,Bearish Engulfing,17794.75,17768.4,0.227
334,41400,17785.15,17794.75,17768.4,17775.95,220120,NIFTY,27.15,Red,Green,17784.3,17775.7,,17790.65,17774.7,0.291
335,42300,17775.7,17790.65,17774.7,17784.3,220120,NIFTY,20.05,Green,Green,17788.1,17784.6,,17809.25,17779.05,0.278
336,43200,17784.6,17809.25,17779.05,17788.1,220120,NIFTY,22.62,Green,Green,17818.8,17787.95,,17825.45,17785.7,0.148
337,44100,17787.95,17825.45,17785.7,17818.8,220120,NIFTY,28.0,Green,Green,17820.35,17818.5,,17834.7,17811.15,0.194
338,45000,17818.5,17834.7,17811.15,17820.35,220120,NIFTY,28.77,Green,Red,17804.95,17819.95,,17821.45,17804.95,0.261
339,45900,17819.95,17821.45,17804.95,17804.95,220120,NIFTY,34.94,Red,Red,17771.05,17804.55,,17804.55,17770.55,0.276
340,46800,17804.55,17804.55,17770.55,17771.05,220120,NIFTY,20.21,Red,Red,17726.35,17769.8,,17773.6,17720.95,0.167
341,47700,17769.8,17773.6,17720.95,17726.35,220120,NIFTY,20.15,Red,Red,17697.55,17726.45,,17729.95,17687.5,0.286
342,48600,17726.45,17729.95,17687.5,17697.55,220120,NIFTY,19.68,Red,Red,17686.4,17698.35,,17712.15,17685.5,0.472
343,49500,17698.35,17712.15,17685.5,17686.4,220120,NIFTY,18.84,Red,Green,17705.9,17686.0,,17722.9,17670.95,0.487
344,50400,17686.0,17722.9,17670.95,17705.9,220120,NIFTY,26.44,Green,Red,17693.15,17705.7,,17707.8,17683.9,0.251
345,51300,17705.7,17707.8,17683.9,17693.15,220120,NIFTY,24.35,Red,Red,17663.9,17692.6,Bullish Engulfing,17695.35,17648.85,0.294
346,52200,17692.6,17695.35,17648.85,17663.9,220120,NIFTY,23.39,Red,Green,17716.2,17663.45,,17722.65,17656.85,0.294
347,53100,17663.45,17722.65,17656.85,17716.2,220120,NIFTY,38.47,Green,Green,17764.8,17715.55,,17764.8,17715.55,0.334
348,54000,17715.55,17764.8,17715.55,17764.8,220120,NIFTY,48.36,Green,Green,17782.95,17764.3,Bullish Engulfing,17783.15,17753.5,0.418
349,54900,17764.3,17783.15,17753.5,17782.95,220120,NIFTY,49.81,Green,Red,17554.35,17613.7,,17623.45,17526.4,0.611
350,33300,17613.7,17623.45,17526.4,17554.35,220121,NIFTY,29.69,Red,Green,17622.25,17554.35,,17623.95,17538.3,0.382
351,34200,17554.35,17623.95,17538.3,17622.25,220121,NIFTY,33.96,Green,Green,17668.7,17622.1,,17679.25,17613.3,1.465
352,35100,17622.1,17679.25,17613.3,17668.7,220121,NIFTY,38.47,Green,Red,17631.2,17668.45,Bullish Engulfing,17674.15,17627.35,0.557
353,36000,17668.45,17674.15,17627.35,17631.2,220121,NIFTY,37.22,Red,Red,17613.85,17630.3,,17639.15,17593.55,0.804
354,36900,17630.3,17639.15,17593.55,17613.85,220121,NIFTY,38.14,Red,Red,17579.65,17613.8,,17626.2,17571.65,0.374
355,37800,17613.8,17626.2,17571.65,17579.65,220121,NIFTY,38.76,Red,Red,17578.6,17579.45,,17583.95,17560.2,0.458
